neighborhood,total_cases,pct_white,pct_of_color,pct_race_unknown
Downtown West,"4,520",23,71,6
Hawthorne,809,10,83,7
Jordan,801,10,87,3
Near - North,788,9,85,6
Folwell,580,13,85,2
Lowry Hill East,569,41,52,7
Willard - Hay,519,9,88,3
Whittier,458,32,63,5
Ventura Village,441,17,80,3
East Phillips,437,12,82,6
Marcy Holmes,378,58,36,6
Loring Park,376,20,76,4
North Loop,362,30,62,8
Longfellow,357,23,66,11
Midtown Phillips,335,13,84,3
Webber - Camden,314,14,78,8
Mckinley,299,12,83,5
Lyndale,298,39,55,6
Phillips West,268,21,69,10
Elliot Park,267,27,65,8
Central,266,34,58,8
Powderhorn Park,244,30,60,10
Cedar Riverside,234,9,79,12
Harrison,219,15,75,10
Steven's Square - Loring Heights,195,22,71,7
Seward,180,26,68,6
Cleveland,180,14,81,5
Lind - Bohanon,170,14,80,6
Holland,159,40,53,7
South Uptown,149,37,57,6
Corcoran,138,18,64,18
Victory,138,22,70,8
King Field,125,31,58,11
Prospect Park - East River Road,122,30,59,11
Downtown East,120,33,53,14
Como,117,54,38,8
Standish,100,43,45,12
Nicollet Is/East Bank,97,55,24,21
Audubon Park,95,36,51,13
Howe,92,11,79,10
East Isles,86,49,40,11
Lowry Hill,83,45,36,19
Wenonah,83,19,70,11
University,82,38,50,12
Sumner - Glenwood,80,8,81,11
Windom Park,79,39,49,12
St Anthony West,79,32,54,14
Hiawatha,75,49,35,16
Waite Park,73,34,53,13
Northeast Park,72,42,46,12
Windom,66,41,41,18
St Anthony East,64,38,44,18
Shingle Creek,60,3,63,34
Beltrami,57,40,44,16
Tangletown,57,16,67,17
Bancroft,57,25,53,22
Cooper,55,13,71,16
Sheridan,50,60,22,18
Fulton,49,27,55,18
Mid City Industrial Ar,48,21,60,19
Logan Park,48,44,38,18
Regina,46,24,54,22
Columbia,45,60,20,20
ECCO,40,55,23,22
Lynnhurst,38,71,5,24
Minnehaha,38,29,42,29
Northrop,36,36,39,25
Bryant,34,6,68,26
Bottineau,34,26,47,27
Linden Hills,34,59,9,32
Field,34,18,56,26
Marshall Terrace,34,26,32,42
Ericsson,33,15,58,27
Diamond Lake,32,6,66,28
East Harriet,31,16,55,29
Morris Park,31,10,61,29
Armatage,30,3,63,34
West Calhoun,28,54,11,35
Bryn Mawr,27,37,30,33
Hale,25,52,8,40
Keewaydin,25,44,20,36
Kenwood,24,13,50,37
Cedar - Isles - Dean,20,25,30,45
Page,15,40,0,60
Camden Industrial Area,12,8,17,75
Humboldt Indust Area,9,0,0,100
Kenny,9,0,0,100